PassengerId,Survived
2,1
4,1
7,0
11,1
12,1
22,1
24,1
28,0
53,1
55,0
63,0
67,1
76,0
89,1
93,0
97,0
98,1
103,0
111,0
119,0
124,1
125,0
137,1
138,0
140,0
149,0
152,1
171,0
175,0
178,0
184,1
194,1
195,1
196,1
206,0
210,1
216,1
219,1
225,1
231,1
246,0
249,1
252,0
253,0
258,1
263,0
264,0
269,1
270,1
274,0
276,1
292,1
293,0
298,0
300,1
306,1
308,1
310,1
311,1
312,1
319,1
320,1
326,1
328,1
330,1
332,0
333,0
337,0
338,1
340,0
341,1
342,1
346,1
357,1
367,1
370,1
371,1
378,0
391,1
394,1
395,1
413,1
430,1
431,1
435,0
436,1
439,0
446,1
450,1
453,0
454,1
457,0
461,1
463,0
474,1
485,1
487,1
488,0
493,0
497,1
499,0
505,1
506,0
513,1
516,0
517,1
521,1
524,1
537,0
540,1
541,1
545,0
551,1
557,1
559,1
572,1
573,1
578,1
582,1
584,0
586,1
588,1
592,1
600,1
610,1
619,1
622,1
626,0
628,1
631,1
633,1
642,1
646,1
648,1
660,0
663,0
672,0
680,1
682,1
690,1
691,1
699,0
700,0
701,1
702,1
708,1
711,1
713,1
716,0
717,1
718,1
725,1
731,1
738,1
742,0
743,1
746,0
749,0
752,1
760,1
764,1
766,1
773,0
780,1
782,1
783,0
790,0
797,1
803,1
807,0
810,1
821,1
824,1
836,1
854,1
858,1
863,1
868,0
872,1
873,0
880,1
888,1
890,1
